file,beam,shot_number,lat_GEDI2A,lon_GEDI2A,rh98_GEDI2A,rh100_GEDI2A,elev_highest_GEDI2A,elev_lowest_GEDI2A,height_lastbin_GEDI2A,sensitivity_GEDI2A,l2a_quality_flag_GEDI2A,cover_GEDI2B,pai_GEDI2B,fhd_normal_GEDI2B,omega_GEDI2B,pgap_theta_GEDI2B,pgap_theta_error_GEDI2B,lat_GEDI2B,lon_GEDI2B,l2b_quality_flag_GEDI2B
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460574,17.97779985931103,-66.8614746007552,7.82,8.98,174.18758,165.20204,,0.97671914,1,,,,,,,17.97779985931103,-66.8614746007552,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460575,17.977392901862167,-66.86114411546663,7.0,8.31,175.43628,167.12466,,0.96525055,1,,,,,,,17.977392901862167,-66.86114411546663,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460576,17.976983167359382,-66.8608103192265,13.32,14.52,172.67546,158.14885,,0.9698502,1,,,,,,,17.976983167359382,-66.8608103192265,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460577,17.9765768930939,-66.86048059782362,7.63,8.53,171.14957,162.61331,,0.90605575,1,,,,,,,17.9765768930939,-66.86048059782362,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460578,17.97616794875036,-66.86014769239085,7.82,9.21,165.80309,156.59291,,0.974539,1,,,,,,,17.97616794875036,-66.86014769239085,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460579,17.975758908907746,-66.85981465271352,8.46,9.92,160.06607,150.14455,,0.97656417,1,,,,,,,17.975758908907746,-66.85981465271352,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460580,17.975347252504694,-66.85947849338456,12.76,13.74,147.16426,133.42387,,0.96772677,1,,,,,,,17.975347252504694,-66.85947849338456,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460581,17.974937999712086,-66.85914515944576,11.34,11.86,137.89561,126.027214,,0.91041577,1,,,,,,,17.974937999712086,-66.85914515944576,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460582,17.9745320622929,-66.85881573133348,3.03,3.21,134.7405,131.52068,,0.8859858,0,,,,,,,17.9745320622929,-66.85881573133348,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460583,17.974109636599398,-66.85846675929464,0.0,0.0,72.60013,72.60013,,-0.7972279,0,,,,,,,17.974109636599398,-66.85846675929464,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460584,17.97370312962315,-66.85813661757689,0.0,0.0,75.766304,75.766304,,3.1883068,0,,,,,,,17.97370312962315,-66.85813661757689,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460585,17.973297498254386,-66.8578074937708,0.0,0.0,82.30053,82.30053,,-2.5412326,0,,,,,,,17.973297498254386,-66.8578074937708,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460586,17.972892154595655,-66.85747869214653,0.0,0.0,89.91161,89.91161,,3.8010747,0,,,,,,,17.972892154595655,-66.85747869214653,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0011,75730300300460587,17.9724844899722,-66.85714712426098,0.0,0.0,88.41863,88.41863,,-1.335219,0,,,,,,,17.9724844899722,-66.85714712426098,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0101,75730500300460714,17.97026350801341,-66.86622232039005,0.0,0.0,156.07076,156.07076,,-0.121543504,0,,,,,,,17.97026350801341,-66.86622232039005,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0101,75730500300460715,17.969855942097098,-66.86589133547538,0.0,0.0,156.56883,156.56883,,-2.1860304,0,,,,,,,17.969855942097098,-66.86589133547538,
GEDI02_A_2020104212032_O07573_03_T01382_02_003_01_V002.h5,BEAM0101,75730500300460716,17.969448221653575,-66.86556018788544,0.0,0.0,156.36125,156.36125,,2.2455378,0,,,,,,,17.969448221653575,-66.86556018788544,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339474,17.974609463190085,-66.86601358361143,2.69,2.88,146.98747,144.10394,,0.58466715,0,,,,,,,17.974609463190085,-66.86601358361143,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339475,17.975015490050485,-66.86568221706723,4.56,4.94,151.39865,146.45546,,0.8249786,0,,,,,,,17.975015490050485,-66.86568221706723,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339476,17.975420227124282,-66.8653517942663,5.57,5.87,159.43204,153.55263,,0.80486625,0,,,,,,,17.975420227124282,-66.8653517942663,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339477,17.9758255212742,-66.86502100338873,3.1,3.25,161.97646,158.71844,,0.84770685,0,,,,,,,17.9758255212742,-66.86502100338873,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339478,17.976231489801744,-66.86468977371077,2.69,2.8,164.35684,161.5482,,0.65460813,0,,,,,,,17.976231489801744,-66.86468977371077,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339479,17.976624828806504,-66.86436766644054,0.0,0.0,210.33374,210.33374,,0.3905194,0,,,,,,,17.976624828806504,-66.86436766644054,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339480,17.97704305901149,-66.86402776734904,4.23,4.41,173.40547,168.98656,,0.73061186,0,,,,,,,17.97704305901149,-66.86402776734904,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339481,17.97602423765932,-66.86471932287864,0.37,0.41,5345.4287,5345.017,,0.94089264,0,,,,,,,17.97602423765932,-66.86471932287864,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339482,17.97641879962648,-66.86439660868267,0.0,0.0,5390.0054,5390.0054,,0.8194007,0,,,,,,,17.97641879962648,-66.86439660868267,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339483,17.976834086440608,-66.86405913126605,7.78,8.01,5367.9307,5359.918,,0.96435654,0,,,,,,,17.976834086440608,-66.86405913126605,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339484,17.97723295657132,-66.86373356041973,0.0,0.0,5389.7383,5389.7383,,0.82358336,0,,,,,,,17.97723295657132,-66.86373356041973,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM0110,101750600200339485,17.977640008959007,-66.8634022545428,0.0,0.0,5390.109,5390.109,,0.89580184,0,,,,,,,17.977640008959007,-66.8634022545428,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083187,17.969482381989643,-66.86234170471472,2.02,2.17,95.74962,93.57715,,0.86407185,0,,,,,,,17.969482381989643,-66.86234170471472,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083188,17.969880665280108,-66.86201812690547,0.0,0.0,133.08345,133.08345,,-0.04181333,0,,,,,,,17.969880665280108,-66.86201812690547,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083189,17.970290236268244,-66.86168560746178,3.22,3.4,124.959755,121.551414,,0.6926862,0,,,,,,,17.970290236268244,-66.86168560746178,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083190,17.97069819561896,-66.86135426601321,5.13,5.39,122.41142,117.01798,,0.83888155,0,,,,,,,17.97069819561896,-66.86135426601321,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083191,17.971102668228905,-66.86102557696108,4.9,5.24,133.18452,127.94099,,0.8536262,0,,,,,,,17.971102668228905,-66.86102557696108,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083192,17.971506408094132,-66.86069738446785,2.28,2.39,144.36862,141.97162,,0.68733066,0,,,,,,,17.971506408094132,-66.86069738446785,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083193,17.971910827632694,-66.86036858503341,2.09,2.32,155.09961,152.77762,,0.81802815,0,,,,,,,17.971910827632694,-66.86036858503341,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083194,17.97231678393114,-66.86003851034128,3.85,4.11,160.65186,156.53224,,0.8688461,0,,,,,,,17.97231678393114,-66.86003851034128,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083195,17.97272294442912,-66.85970820932181,3.96,4.23,163.49393,159.26198,,0.86414796,0,,,,,,,17.97272294442912,-66.85970820932181,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083196,17.973130432903456,-66.85937680466324,1.12,1.23,157.17159,155.9357,,0.90094817,0,,,,,,,17.973130432903456,-66.85937680466324,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083197,17.973540738230234,-66.85904313265031,7.6,7.93,147.82498,139.88509,,0.8680078,0,,,,,,,17.973540738230234,-66.85904313265031,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083198,17.973947593453666,-66.85871211192737,4.94,5.35,144.68048,139.32475,,0.8998169,0,,,,,,,17.973947593453666,-66.85871211192737,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083199,17.974357224033337,-66.85837886430289,0.59,0.63,126.92123,126.28453,,0.7033705,0,,,,,,,17.974357224033337,-66.85837886430289,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083200,17.974764151289126,-66.85804769021868,1.38,1.46,126.888336,125.427666,,-0.11035436,0,,,,,,,17.974764151289126,-66.85804769021868,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083201,17.97515792555554,-66.85772678723727,0.0,0.0,184.00597,184.00597,,0.5875592,0,,,,,,,17.97515792555554,-66.85772678723727,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083202,17.975564748353527,-66.85739561113782,0.0,0.0,184.20581,184.20581,,-0.9625487,0,,,,,,,17.975564748353527,-66.85739561113782,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083203,17.974826446667567,-66.8579624658739,33.06,33.59,5372.535,5338.942,,0.93606776,0,,,,,,,17.974826446667567,-66.8579624658739,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083204,17.97523003110819,-66.85763377318298,0.37,0.41,5354.407,5353.9956,,0.9496363,0,,,,,,,17.97523003110819,-66.85763377318298,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083205,17.97563554291446,-66.85730354262616,0.89,0.97,5361.501,5360.5273,,0.91402096,0,,,,,,,17.97563554291446,-66.85730354262616,
GEDI02_A_2020272172956_O10175_02_T05951_02_003_02_V002.h5,BEAM1000,101750800200083206,17.97604278026118,-66.8569719362692,1.49,1.61,5361.096,5359.486,,0.88600254,0,,,,,,,17.97604278026118,-66.8569719362692,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340882,17.973166335350587,-66.8661477725932,6.77,8.68,126.913445,118.22369,,0.9882549,1,,,,,,,17.973166335350587,-66.8661477725932,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340883,17.973573883938787,-66.86581623076665,7.75,9.81,130.61157,120.79808,,0.99116397,1,,,,,,,17.973573883938787,-66.86581623076665,
GEDI02_A_2019246042645_O04104_02_T00259_02_003_02_V002.h5,BEAM0110,41040600200340884,17.973980413823625,-66.86548543050111,5.09,6.74,136.63373,129.89168,,0.9679743,1,,,,,,,17.973980413823625,-66.86548543050111,
